Masked IDs,PC1,PC2,PC3,PC4,PC5
S00107,-0.00236206,0.0674705,-0.00145866,0.00103966,0.00388667
S00241,-0.00746042,0.0861012,0.00434538,-0.0118048,-0.000173198
S00144,-0.00300161,0.0776217,0.00104721,-0.00939852,0.0127779
S00194,0.00958771,0.103974,-0.00496422,0.00599191,-0.000768659
S00169,0.00429236,0.0924827,-0.00406581,0.0031196,-0.00637315
S00216,0.00486299,0.0963775,0.00061607,-0.0213873,0.00286185
S00152,-0.00104564,0.0779323,0.00336333,0.00341785,0.0138339
S00127,0.00227394,0.0724647,0.0015625,-0.00831971,0.00567561
S00122,0.00289805,0.0677164,0.00174159,0.00107974,-0.00170146
S00099,-0.000749527,0.0959783,-0.00298787,0.00539623,0.0109703
S00055,-0.00371429,0.0798335,0.013698,-0.0059237,-0.0129599
S00335,-0.000568764,0.0997653,0.00857836,-0.00507117,-0.00144073
S00317,-0.119473,-0.0270451,-0.102014,-0.00204123,-0.053338
S00058,-0.122793,-0.0249311,0.0341013,-0.0513057,-0.0590667
S00042,-0.104865,-0.0231745,0.064886,-0.0364152,0.0187836
S00348,-0.12073,-0.0338696,-0.0291522,-0.0188911,-0.0539349
S00405,-0.117504,-0.0244647,-0.10166,0.0395598,-0.0272949
S00249,-0.119641,-0.0238282,-0.0999032,0.0486355,0.0101114
S00167,-0.119006,-0.0212924,-0.14269,0.0245918,-0.0325287
S00015,-0.121221,-0.031483,-0.049702,-0.0604429,-0.0222282
S00349,-0.123481,-0.0310861,-0.0861075,0.0623919,-0.0481033
S00111,-0.118752,-0.0260095,-0.108443,-0.00535746,-0.0915309
S00001,-0.118583,-0.0280602,-0.0477908,0.0277526,-0.0430733
S00350,-0.119206,-0.0351623,-0.120073,0.69677,0.573941
S00248,-0.128295,-0.0354495,0.267923,0.0230208,-0.0617142
S00272,-0.121925,-0.0278575,-0.0155507,0.0253973,-0.0956597
S00052,-0.119738,-0.0247283,-0.0899795,-0.00451764,-0.0472827
S00220,-0.126445,-0.0292277,0.229641,0.0794223,0.0484978
S00078,-0.119589,-0.0282664,-0.0932629,0.0823839,-0.0846184
S00234,-0.122972,-0.0325493,0.0782314,0.0760021,0.103842
S00255,-0.112012,-0.0197115,-0.0729874,-0.000178073,-0.0214902
S00207,-0.129026,-0.0364965,0.252772,-0.0717626,0.247391
S00361,-0.109668,-0.0211413,-0.0409756,-0.0443396,-0.0519571
S00165,-0.0980113,-0.029183,-0.0379366,0.055325,-0.0158473
S00201,-0.121125,-0.0289268,-0.0980862,-0.0110965,-0.0294402
S00268,-0.122565,-0.0328,-0.0806421,0.0557257,-0.0773123
S00173,-0.113964,-0.020225,-0.064652,-0.0551884,-0.0746999
S00265,-0.12004,-0.0279854,-0.0648703,-0.00442414,-0.0451382
S00308,-0.12522,-0.0364253,0.116493,-0.0980797,-0.0476725
S00381,-0.114045,-0.0244283,-0.166407,0.00727016,-0.0349862
S00120,-0.119159,-0.02602,-0.0113562,0.0493121,-0.0117451
S00071,-0.121361,-0.0282047,-0.00845639,0.0193223,-0.0549647
S00199,-0.119453,-0.0244899,-0.0776412,0.0626129,-0.0436818
S00246,-0.116237,-0.02277,-0.0163479,-0.0456842,-0.00364172
S00038,-0.120551,-0.0318195,-0.0242,0.0680509,-0.00939942
S00013,-0.117413,-0.0217159,-0.0674804,0.00109841,-0.0113465
S00005,-0.1251,-0.0346491,-0.0339881,0.00937248,-0.115104
S00259,-0.122713,-0.0321464,-0.0268101,-0.0493939,-0.0117616
